"X231_hop_R_01.c3d.11","X238_hop_R_01.c3d.11","X250_hop_R_01.c3d.11","X253_hop_R_01.c3d.11","X263_Hop_L_01.c3d.11","X278_hop_R_01.c3d.11","X281_hop_R_01.c3d.11","X283_Hop_L_01.c3d.11","X285_Hop_R_01.c3d.11","X286_hop_L_01.c3d.11","X300_hop_R_01.c3d.11","X302_hop_L_01.c3d.11","X305_hop_R_01.c3d.11","X306_hop_L_01.c3d.11","X309_hop_L_01.c3d.11","X310_hop_R_01.c3d.11","X312_hop_R_01.c3d.11","X318_hop_R_01.c3d.11","X321_hop_R_01.c3d.11","X326_hop_L_01.c3d.11","X328_hop_R_01.c3d.11","X337_hop_R_01.c3d.11","X340_hop_L_01.c3d.11","X341_hop_R_01.c3d.11","X342_hop_L_01.c3d.11","X343_Hop_L_01.c3d.11","X346_Hop_R_01.c3d.11","X354_hop_R_01.c3d.11","X361_hop_R_01.c3d.11","X368_hop_R_01.c3d.11","X399_hop_R_01.c3d.11","X402_hop_R_01.c3d.11"
58.969692,51.875458,51.714848,41.212189,30.199339,28.006802,29.097332,27.648806,31.484198,49.468777,46.8493,20.482389,37.332924,69.546829,21.483391,39.722233,57.01569,54.823368,20.84292,40.188004,30.024897,6.114002,26.807602,9.643661,52.491879,64.274002,43.451385,66.236382,47.855804,69.832863,36.732758,55.484425
59.527523,52.776173,52.439423,41.351604,28.368629,29.936586,29.21172,25.83304,34.508591,49.469063,47.059937,23.334072,37.28141,69.263184,21.695347,37.174778,58.174896,55.865498,21.146025,39.915325,30.758121,6.165462,26.875486,9.722895,52.354122,64.333725,43.789276,66.559982,46.282322,69.085541,38.133568,56.460384
60.059505,53.662155,53.104237,41.489277,27.062763,32.202461,29.29497,24.493059,36.939022,49.488735,47.255989,26.618486,37.22908,68.854523,21.892281,34.284718,59.257969,56.892227,21.452301,39.66539,31.480515,6.222075,26.950144,9.807527,52.20927,64.383415,44.107883,66.88282,44.04958,68.26757,39.512295,57.435318
60.566055,54.517536,53.747585,41.618958,26.396456,34.670197,29.352652,23.73657,38.534763,49.526764,47.444256,30.152559,37.174259,68.339874,22.076426,31.219601,60.246017,57.904171,21.756586,39.470173,32.19239,6.275887,27.027658,9.895531,52.058281,64.418259,44.405884,67.199326,41.268536,67.378571,40.859329,58.403767
61.048962,55.329746,54.429466,41.732899,26.450661,37.175617,29.404352,23.635952,39.263443,49.58028,47.632675,34.006065,37.116535,67.758202,22.256052,28.160656,61.133507,58.902229,22.052794,39.357864,32.907681,6.318681,27.10284,9.983212,51.902008,64.430511,44.687092,67.504768,38.07502,66.416756,42.170681,59.357796
61.510349,56.090656,55.208614,41.822895,27.257292,39.536991,29.480392,24.225349,39.206085,49.645481,47.82843,38.291553,37.05703,67.167854,22.440424,25.285585,61.930412,59.886856,22.340372,39.346107,33.633877,6.343764,27.171257,10.066357,51.741146,64.410553,44.960194,67.795067,34.616192,65.379738,43.438274,60.287731
61.950745,56.797695,56.096115,41.883549,28.788639,41.569885,29.604132,25.50091,38.482468,49.71833,48.037491,42.890614,36.99815,66.611214,22.635851,22.75028,62.657845,60.857655,22.624481,39.438026,34.365536,6.347753,27.229776,10.141574,51.576195,64.348679,45.236732,68.066475,31.039974,64.265854,44.648071,61.183502
62.367142,57.452663,57.034252,41.915482,30.9527,43.103535,29.772465,27.422855,37.222141,49.795078,48.265213,47.377781,36.942665,66.080078,22.842922,20.674824,63.340134,61.813465,22.911062,39.621891,35.092789,6.330519,27.276348,10.207053,51.407436,64.237137,45.527336,68.31543,27.487061,63.076176,45.786793,62.036289
62.753098,58.05846,57.944202,41.925438,33.595444,43.997005,29.960814,29.918711,35.544716,49.872726,48.516888,51.232792,36.892334,65.524246,23.057589,19.137604,63.998058,62.752777,23.203962,39.873699,35.80888,6.294596,27.309921,10.262909,51.234909,64.071358,45.839657,68.538803,24.084042,61.817467,46.857033,62.839989
63.10107,58.616825,58.782211,41.923782,36.512634,44.153175,30.141745,32.887276,33.541576,49.94944,48.797932,54.119759,36.846786,64.896835,23.275509,18.178112,64.645096,63.67411,23.508144,40.163738,36.508694,6.245708,27.330708,10.311049,51.058414,63.849533,46.179596,68.734673,20.938154,60.506077,47.87381,63.591972
63.404579,59.125858,59.543537,41.922012,39.472717,43.529297,30.293047,36.203323,31.26898,50.024723,49.113869,56.017448,36.803551,64.17791,23.496204,17.806074,65.286209,64.576271,23.833683,40.470421,37.180702,6.193325,27.340797,10.354074,50.877541,63.570705,46.549675,68.902969,18.136433,59.171772,48.84388,64.292953
63.657917,59.579647,60.237267,41.930996,42.245743,42.143311,30.397724,39.72366,28.748655,50.099258,49.469414,57.165485,36.759197,63.351032,23.722914,18.012781,65.917961,65.458778,24.193001,40.792435,37.807331,6.148992,27.343927,10.394474,50.691704,63.232666,46.940697,69.045052,15.75059,57.860542,49.759674,64.946121
63.854523,59.971138,60.868259,41.95903,44.628922,40.074776,30.44655,43.294922,25.981071,50.174549,49.866455,57.9035,36.710781,62.387493,23.957359,18.780249,66.529572,66.322731,24.592287,41.144051,38.376762,6.122662,27.343363,10.435387,50.500195,62.830822,47.325832,69.161911,13.845161,56.634712,50.606968,65.555649
63.986431,60.294464,61.436481,42.00943,46.462978,37.459187,30.443892,46.762192,22.981615,50.25227,50.302349,58.508652,36.656742,61.260883,24.195526,20.085669,67.104759,67.171753,25.026163,41.539688,38.890404,6.120286,27.339487,10.48141,50.302258,62.358528,47.67347,69.251663,12.484399,55.56934,51.373184,66.124649
64.045547,60.544884,61.94413,42.078175,47.639351,34.475868,30.410017,49.977108,19.82795,50.333492,50.76944,59.115738,36.596996,59.9496,24.430023,21.901379,67.624115,68.011993,25.479048,41.985809,39.36097,6.143642,27.329624,10.537058,50.097111,61.808636,47.972031,69.307976,11.73465,54.745007,52.052109,66.653358
64.025864,60.717091,62.402164,42.153309,48.101028,31.330488,30.374054,52.803608,16.696663,50.418102,51.25526,59.735878,36.532532,58.41103,24.655588,24.191967,68.06778,68.850739,25.932468,42.483334,39.809181,6.190536,27.310205,10.603167,49.883999,61.175037,48.236832,69.32119,11.661845,54.238445,52.643112,67.138596
63.925873,60.805569,62.833668,42.217609,47.839851,28.23345,30.36507,55.119053,13.874748,50.504898,51.744648,60.320267,36.465149,56.577221,24.870611,26.910185,68.418549,69.694458,26.374512,43.031799,40.261505,6.255185,27.279303,10.675716,49.662178,60.453377,48.491123,69.281723,12.325081,54.111725,53.146782,67.575279
63.74902,60.807865,63.268394,42.253883,46.891556,25.375782,30.408108,56.810417,11.734689,50.592632,52.224369,60.806538,36.397514,54.393822,25.074463,29.990734,68.665054,70.547081,26.803717,43.630569,40.741226,6.33001,27.238159,10.749077,49.430889,59.640533,48.746304,69.182777,13.765299,54.401043,53.560425,67.958832
63.50079,60.727116,63.726017,42.250072,45.328609,22.905746,30.509529,57.770599,10.66701,50.681168,52.686947,61.133743,36.333412,51.865807,25.266027,33.337719,68.804802,71.409241,27.225409,44.277214,41.254356,6.407492,27.190773,10.819789,49.189342,58.73317,49.001282,69.020668,15.986186,55.107456,53.873737,68.286743
63.18539,60.571999,64.199745,42.202068,43.250336,20.911489,30.644655,57.902416,10.986341,50.771969,53.131359,61.25256,36.277573,49.083244,25.446274,36.807877,68.845901,72.278099,27.646336,44.966175,41.788929,6.479817,27.141699,10.887205,48.936668,57.726219,49.253918,68.792953,18.92853,56.192402,54.071609,68.558113
62.806393,60.352997,64.657928,42.113369,40.771034,19.415813,30.775961,57.132652,12.852127,50.867611,53.56144,61.144711,36.234932,46.232536,25.622255,40.206306,68.806114,73.147743,28.072039,45.691097,42.333965,6.539426,27.093628,10.952145,48.671894,56.612671,49.509335,68.495842,22.450697,57.578793,54.146591,68.771896
62.370182,60.076599,65.059975,41.993019,38.008011,18.387291,30.884706,55.429924,16.244541,50.970963,53.983364,60.836449,36.20961,43.602642,25.80718,43.310543,68.709183,74.009949,28.507195,46.448093,42.894787,6.582415,27.046146,11.016209,48.393948,55.384758,49.77977,68.122459,26.336315,59.154949,54.107761,68.925507
61.887817,59.743229,65.370346,41.854362,35.071545,17.766661,30.975855,52.819462,21.006559,51.084545,54.402905,60.390842,36.203999,41.558014,26.015179,45.918793,68.579681,74.855476,28.959368,47.236599,43.48888,6.610546,26.99593,11.080926,48.101654,54.035339,50.079025,67.662781,30.338711,60.779911,53.981735,69.015457
61.372772,59.350815,65.566521,41.714176,32.058342,17.500069,31.057072,49.392235,26.905092,51.210209,54.822521,59.881393,36.218346,40.473801,26.253639,47.900772,68.4384,75.675652,29.44356,48.059193,44.135326,6.629125,26.938501,11.146587,47.793743,52.559406,50.415211,67.10466,34.241089,62.291649,53.801601,69.039665
60.836365,58.899143,65.641884,41.589962,29.05003,17.56464,31.128925,45.308231,33.621262,51.349037,55.238758,59.362267,36.250992,40.673363,26.520222,49.227909,68.298912,76.463379,29.980309,48.921211,44.847443,6.643794,26.871134,11.212016,47.468842,50.956734,50.787579,66.434891,37.895275,63.520264,53.591721,68.999649
60.284744,58.390377,65.601692,41.495991,26.11738,17.972023,31.19455,40.792767,40.683662,51.501392,55.64077,58.848541,36.299183,42.351482,26.805166,49.970394,68.166069,77.2127,30.589893,49.829769,45.626122,6.658946,26.795244,11.275111,47.125458,49.235813,51.190243,65.639755,41.223816,64.304901,53.360813,68.901581
59.719273,57.827179,65.456345,41.441422,23.327805,18.744476,31.261625,36.122902,47.526749,51.66684,56.011482,58.316807,36.360172,45.462029,27.094572,50.263573,68.036652,77.917557,31.289495,50.793102,46.455807,6.677545,26.716558,11.332951,46.76194,47.417801,51.618336,64.705086,44.20121,64.510696,53.105923,68.755646
59.138439,57.210945,65.217773,41.431583,20.75161,19.874666,31.336481,31.601082,53.686131,51.843971,56.332615,57.728321,36.432148,49.630547,27.373735,50.258163,67.901665,78.571007,32.088367,51.817432,47.308994,6.701182,26.642408,11.381606,46.376446,45.538811,52.071655,63.615974,46.833843,64.041962,52.816021,68.573784
58.537415,56.538044,64.899933,41.470181,18.463324,21.295343,31.42757,27.516924,58.922375,52.030716,56.592785,57.054585,36.514713,54.17799,27.630934,50.074726,67.749008,79.165863,32.98151,52.898052,48.160858,6.729709,26.578554,11.416504,45.9669,43.649605,52.552864,62.356804,49.143665,62.849552,52.462349,68.366547
57.904617,55.794834,64.520081,41.560326,16.536743,22.882956,31.549026,24.104012,63.220898,52.225147,56.79493,56.282848,36.608383,58.275471,27.861916,49.780312,67.565384,79.695984,33.949635,54.016369,48.999245,6.761394,26.527733,11.433556,45.531002,41.812717,53.064686,60.911797,51.153717,60.932522,51.990288,68.140114
57.219093,54.954815,64.095001,41.704281,15.035402,24.49415,31.71587,21.503407,66.720238,52.425846,56.957848,55.407177,36.713474,61.154968,28.072134,49.39278,67.337547,80.15728,34.965118,55.148335,49.818989,6.794796,26.490084,11.430521,45.066254,40.098259,53.608105,59.265797,52.878944,58.335129,51.326794,67.894806
56.451324,53.97963,63.632236,41.902393,14.003208,26.007946,31.937653,19.74478,69.621811,52.630894,57.109726,54.426163,36.829224,62.292587,28.273304,48.902168,67.05291,80.547478,36.001251,56.272461,50.611675,6.830803,26.464373,11.407459,44.570011,38.579903,54.178978,57.405163,54.326756,55.140598,50.396358,67.62545
