"X004_hop_L_01.c3d.11","X008_hop_R_01.c3d.11","X009_Hop_L_01.c3d.11","X012_hop_L_01.c3d.11","X015_Hop_R_01.c3d.11","X016_Hop_R_01.c3d.11","X017_hop_L_01.c3d.11","X018_hop_R_01.c3d.11","X019_hop_L_01.c3d.11","X021_Hop_L_01.c3d.11","X027_hop_R_01.c3d.11","X028_Hop_L_01.c3d.11","X033_hop_R_01.c3d.11","X035_Hop_R_01.c3d.11","X036_Hop_L_01.c3d.11","X037_hop_R_01.c3d.11","X049_hop_R_01.c3d.11","X052_Hop_R_01.c3d.11","X053_hop_L_01.c3d.11","X068_hop_R_01.c3d.11","X070_hop_R_01.c3d.11","X073_hop_R_01.c3d.11","X075_hop_L_01.c3d.11","X080_hop_L_01.c3d.11","X086_Hop_R_01.c3d.11","X092_hop_R_01.c3d.11","X100_hop_R_01.c3d.11","X103_hop_R_01.c3d.11","X111_hop_L_01.c3d.11","X118_hop_R_01.c3d.11","X119_hop_R_01.c3d.11","X128_hop_R_01.c3d.11","X130_Hop_L_01.c3d.11","X149_hop_R_01.c3d.11","X155_hop_R_01.c3d.11","X329_hop_L_01.c3d.11"
NA,17.46693,NA,22.442263,34.178505,23.944063,36.808731,25.408802,24.987791,23.350615,NA,21.110086,6.712031,46.782227,NA,63.292667,15.993931,NA,-0.043815,24.251812,NA,31.221577,44.840672,19.820583,21.964573,34.363449,NA,23.567596,43.377342,44.233177,42.708344,31.484085,27.678486,47.025463,48.961494,39.71566
NA,16.309151,NA,22.480852,34.049763,23.906191,36.369804,26.173536,23.444586,22.697208,NA,21.173449,6.723349,48.145351,NA,63.409294,15.735367,NA,NA,24.096458,NA,30.456118,46.372688,17.528669,22.017635,34.366772,NA,23.727325,43.209618,44.654526,43.124359,31.826719,28.555193,46.745628,48.799217,40.6968
NA,15.356124,NA,22.533958,33.919037,23.86525,35.885204,27.120573,21.963982,22.116938,NA,21.236769,6.766699,49.40794,NA,63.524788,15.477409,NA,NA,23.940641,NA,29.757191,47.832836,15.340005,22.078091,34.299847,NA,23.921164,42.990627,45.045815,43.411312,32.123173,29.411205,46.455341,48.63065,41.646858
NA,14.616069,NA,22.602259,33.78661,23.821896,35.353611,28.241825,20.558956,21.611095,NA,21.299589,6.84374,50.570545,NA,63.638783,15.219994,NA,NA,23.785746,NA,29.139969,49.216805,13.282888,22.146431,34.164795,NA,24.147387,42.72863,45.388828,43.580116,32.372524,30.216257,46.155121,48.451748,42.552776
NA,14.095003,NA,22.68623,33.652817,23.776899,34.774193,29.524942,19.242277,21.180029,NA,21.36154,6.955828,51.635651,NA,63.750912,14.963275,NA,NA,23.633139,NA,28.616789,50.522766,11.384973,22.222969,33.965519,NA,24.403318,42.431618,45.664955,43.644497,32.574459,30.941515,45.845516,48.258728,43.402515
NA,13.796897,NA,22.786024,33.518024,23.731131,34.146618,30.953533,18.026321,20.823175,NA,21.422363,7.103952,52.607296,NA,63.860828,14.707643,NA,NA,23.484152,NA,28.196846,51.75111,9.672598,22.307785,33.707722,NA,24.685514,42.107185,45.85553,43.620106,32.729256,31.560602,45.527111,48.048168,44.185051
NA,13.72364,NA,22.901348,33.382637,23.68553,33.471027,32.507614,16.922907,20.53919,NA,21.481941,7.288702,53.490654,NA,63.968212,14.453732,NA,NA,23.340076,NA,27.886063,52.90424,8.170059,22.400673,33.398838,NA,24.989929,41.762436,45.942245,43.523636,32.837776,32.050499,45.200516,47.81715,44.890385
NA,13.87485,NA,23.031315,33.24707,23.641085,32.748001,34.164211,15.943102,20.326149,NA,21.5403,7.510247,54.291618,NA,64.072746,14.202428,NA,NA,23.202154,NA,27.68712,53.986267,6.898827,22.501051,33.047844,NA,25.312027,41.403904,45.907566,43.371975,32.901432,32.3922,44.866364,47.563351,45.509533
NA,14.247613,NA,23.174332,33.11174,23.598782,31.978584,35.898071,15.09706,20.181797,NA,21.597584,7.768364,55.016403,NA,64.174149,13.954852,NA,NA,23.071569,NA,27.59968,55.002602,5.876774,22.607918,32.664959,NA,25.646877,41.037544,45.735279,43.181442,32.922146,32.571167,44.525318,47.285133,46.034534
NA,14.836243,NA,23.328012,32.977055,23.559576,31.164303,37.682362,14.393847,20.103857,NA,21.654051,8.062477,55.671162,NA,64.272102,13.712338,NA,NA,22.949438,NA,27.620716,55.959427,5.117475,22.719812,32.26123,NA,25.989239,40.668663,45.411037,42.967148,32.902336,32.577557,44.178059,46.981586,46.458466
NA,15.632196,NA,23.489172,32.84338,23.524353,30.307238,39.4893,13.841284,20.090302,NA,21.710018,8.391724,56.261658,NA,64.366318,13.476394,NA,NA,22.83679,NA,27.744947,56.863148,4.629616,22.834848,31.84799,NA,26.333622,40.301876,44.923035,42.742477,32.844814,32.406258,43.825298,46.652512,46.775478
NA,16.624208,NA,23.65391,32.711029,23.493862,29.410122,41.290722,13.445795,20.139601,NA,21.765839,8.755047,56.793018,NA,64.456467,13.248639,NA,NA,22.734549,NA,27.965273,57.719898,4.416592,22.950792,31.436258,NA,26.674389,39.941063,44.262691,42.518707,32.752728,32.056759,43.467789,46.298347,46.980839
NA,17.79871,NA,23.817789,32.580246,23.468693,28.476444,43.058537,13.212301,20.250881,NA,21.82185,9.151279,57.269543,NA,64.542213,13.030734,NA,NA,22.643496,NA,28.273134,58.535099,4.476345,23.065203,31.036152,NA,27.005859,39.589268,43.425385,42.304703,32.629444,31.532904,43.106331,45.920067,47.070972
NA,19.140512,NA,23.976116,32.451195,23.449217,27.510565,44.765186,13.144129,20.423969,NA,21.878338,9.579249,57.694622,NA,64.623222,12.824293,NA,NA,22.564247,NA,28.658762,59.313202,4.801493,23.17561,30.656321,NA,27.322475,39.248611,42.411144,42.106796,32.478428,30.842525,42.741783,45.519028,47.043503
NA,20.633646,NA,24.124271,32.323936,23.435579,26.517841,46.384064,13.242982,20.659323,NA,21.935514,10.037871,58.070705,NA,64.699196,12.630789,NA,NA,22.497225,NA,29.111279,60.057564,5.379801,23.279678,30.303545,NA,27.619017,38.920235,41.225292,41.92873,32.303089,29.996981,42.375088,45.096832,46.897259
NA,22.262156,NA,24.258049,32.198441,23.427687,25.504745,47.890018,13.508958,20.957829,NA,21.993498,10.52624,58.399403,NA,64.769859,12.451473,NA,NA,22.442629,NA,29.61867,60.770424,6.194973,23.375368,29.982477,NA,27.890869,38.604233,39.878895,41.771751,32.106674,29.010641,42.007256,44.655178,46.632263
