"X231_hop_R_01.c3d.11","X238_hop_R_01.c3d.11","X250_hop_R_01.c3d.11","X253_hop_R_01.c3d.11","X263_Hop_L_01.c3d.11","X278_hop_R_01.c3d.11","X281_hop_R_01.c3d.11","X283_Hop_L_01.c3d.11","X285_Hop_R_01.c3d.11","X286_hop_L_01.c3d.11","X300_hop_R_01.c3d.11","X302_hop_L_01.c3d.11","X305_hop_R_01.c3d.11","X306_hop_L_01.c3d.11","X309_hop_L_01.c3d.11","X310_hop_R_01.c3d.11","X312_hop_R_01.c3d.11","X318_hop_R_01.c3d.11","X321_hop_R_01.c3d.11","X326_hop_L_01.c3d.11","X328_hop_R_01.c3d.11","X337_hop_R_01.c3d.11","X340_hop_L_01.c3d.11","X341_hop_R_01.c3d.11","X342_hop_L_01.c3d.11","X343_Hop_L_01.c3d.11","X346_Hop_R_01.c3d.11","X354_hop_R_01.c3d.11","X361_hop_R_01.c3d.11","X368_hop_R_01.c3d.11","X399_hop_R_01.c3d.11","X402_hop_R_01.c3d.11"
17.036392,21.026638,17.343475,17.541084,16.829628,30.72467,33.985012,25.58164,25.140881,37.287113,29.122789,32.222099,20.29887,18.132404,23.98822,7.074981,11.668818,19.188486,11.501525,16.915815,17.261209,6.025019,19.744123,6.457538,22.442223,32.952332,21.323557,14.30196,12.11673,12.033122,7.780893,43.842312
17.060917,21.145554,17.339426,17.528959,16.985167,30.685469,34.005127,25.649292,25.199564,37.418697,29.102814,32.207588,20.325003,18.142988,24.080969,7.132388,11.710013,19.251633,11.47349,17.019024,17.253,6.022767,19.819061,6.453513,22.649721,33.102627,21.327486,14.368757,12.137138,12.026263,7.780665,43.86433
17.085476,21.264952,17.332533,17.517088,17.140001,30.643568,34.025505,25.715584,25.256672,37.557213,29.085272,32.193851,20.34897,18.153288,24.174341,7.189686,11.751891,19.313297,11.447544,17.127972,17.247742,6.018741,19.893745,6.448792,22.865351,33.254562,21.3297,14.43391,12.158935,12.020522,7.781847,43.884773
17.11013,21.384706,17.323103,17.505602,17.293869,30.598814,34.046032,25.780062,25.312378,37.703606,29.070408,32.180878,20.371174,18.163647,24.268433,7.246972,11.794235,19.373755,11.424149,17.242754,17.245319,6.013142,19.968168,6.443453,23.088572,33.408272,21.330128,14.497316,12.182407,12.016188,7.784589,43.90374
17.134962,21.504711,17.311535,17.49468,17.446524,30.551104,34.066559,25.842419,25.366777,37.858532,29.058517,32.168674,20.391989,18.174406,24.363434,7.304488,11.83675,19.433243,11.403668,17.363379,17.245562,6.006242,20.04244,6.437578,23.318777,33.563923,21.328728,14.558922,12.207794,12.013535,7.789052,43.9212
17.160061,21.624887,17.298307,17.484533,17.597748,30.500408,34.086922,25.9025,25.419868,38.022282,29.049957,32.157261,20.411757,18.185894,24.459604,7.362636,11.87907,19.491982,11.386341,17.489727,17.248247,5.998378,20.116779,6.431246,23.555334,33.721714,21.325485,14.618726,12.235273,12.012819,7.795405,43.936958
17.185501,21.745178,17.283974,17.475401,17.747355,30.446785,34.106956,25.960302,25.471542,38.194702,29.045128,32.14669,20.430769,18.198412,24.557264,7.421958,11.920776,19.550158,11.372258,17.621536,17.253096,5.989933,20.191496,6.424532,23.797617,33.88184,21.320414,14.676785,12.264954,12.014272,7.803812,43.950687
17.211338,21.865547,17.269146,17.46756,17.895189,30.390388,34.126476,26.015959,25.521585,38.375153,29.044468,32.137051,20.449278,18.212215,24.656786,7.483113,11.961419,19.607912,11.361363,17.758362,17.259775,5.981319,20.266951,6.417512,24.045038,34.044491,21.313547,14.73321,12.296871,12.018092,7.814422,43.961941
17.237576,21.985973,17.254498,17.461306,18.041138,30.331461,34.145321,26.069727,25.569675,38.562466,29.048414,32.128452,20.467487,18.227512,24.758574,7.546813,12.000546,19.66531,11.353471,17.899557,17.267881,5.97296,20.343525,6.410252,24.297091,34.209789,21.304935,14.788177,12.330985,12.024441,7.827353,43.970192
17.264177,22.106451,17.240747,17.456966,18.185116,30.270325,34.163349,26.12196,25.6154,38.754967,29.057386,32.121033,20.485558,18.244446,24.863064,7.61375,12.037737,19.722317,11.348291,18.044273,17.276953,5.965272,20.421562,6.402814,24.553354,34.377811,21.294636,14.841915,12.367174,12.033438,7.842677,43.974892
