"X2001_hop_L_01.c3d.11","X2002_hop_L_01.c3d.11","X2004_hop_L_01.c3d.11","X2005_hop_L_01.c3d.11","X2006_hop_L_01.c3d.11","X2007_hop_L_01.c3d.11","X2008_hop_L_01.c3d.11","X2009_hop_L_01.c3d.11","X2010_hop_L_01.c3d.11","X2011_hop_L_01.c3d.11","X2012_hop_L_01.c3d.11","X2013_hop_L_01.c3d.11","X2014_hop_L_01.c3d.11","X2015_hop_L_01.c3d.11","X2016_hop_L_01.c3d.11","X2017_hop_L_01.c3d.11","X2018_hop_L_01.c3d.11","X2019_hop_L_01.c3d.11","X2020_hop_L_01.c3d.11","X2021_hop_L_01.c3d.11","X2022_hop_L_01.c3d.11","X2023_hop_L_01.c3d.11","X2024_hop_L_01.c3d.11","X2025_hop_L_01.c3d.11","X2026_hop_L_01.c3d.11","X2027_hop_R_01.c3d.11","X2028_hop_L_01.c3d.11","X2029_hop_L_01.c3d.11","X2030_hop_L_01.c3d.11","X2031_hop_L_01.c3d.11","X2032_hop_L_01.c3d.11","X2034_hop_L_01.c3d.11"
16.248056,30.305878,20.228041,11.015495,17.323618,11.176806,5.234907,23.267122,8.372062,25.369299,18.886366,14.895948,31.300291,17.218727,20.85607,17.577291,16.974827,12.829319,16.40909,23.248648,59.36557,18.443897,17.395458,12.236059,31.972904,31.901711,19.869146,14.623302,18.054924,9.778128,16.693367,22.990732
16.451473,30.328962,20.270069,11.108671,17.36294,11.246798,5.230331,23.262989,8.344543,25.392693,18.920179,14.937257,31.407619,17.137987,20.847204,17.55031,16.964865,12.812174,16.557014,23.228256,59.407677,18.499752,17.460123,12.371084,32.03685,32.067955,19.96628,14.709786,18.056774,9.778686,16.696383,22.888329
16.660585,30.351753,20.312101,11.203012,17.398571,11.316031,5.224558,23.261925,8.326636,25.416845,18.954245,14.978847,31.518677,17.060579,20.842524,17.523554,16.955593,12.794292,16.703199,23.209364,59.447071,18.558846,17.5273,12.505572,32.10183,32.218067,20.063824,14.793706,18.06028,9.778598,16.697855,22.782217
16.873682,30.37389,20.353951,11.297825,17.430656,11.384339,5.217539,23.263857,8.318565,25.441273,18.98818,15.020467,31.633577,16.986879,20.841629,17.497076,16.946962,12.775727,16.846869,23.192562,59.483234,18.620682,17.596722,12.639431,32.167164,32.356842,20.161125,14.874875,18.065706,9.778497,16.697716,22.672323
17.089016,30.39502,20.395264,11.392404,17.459473,11.451611,5.209235,23.268621,8.320463,25.465569,19.021587,15.061835,31.752384,16.917164,20.844118,17.470938,16.938957,12.756502,16.987366,23.178295,59.515736,18.684643,17.668093,12.772779,32.232182,32.488235,20.257637,14.953156,18.073299,9.778959,16.695963,22.558563
17.304909,30.414806,20.435419,11.486053,17.485418,11.517764,5.199625,23.275997,8.332373,25.489418,19.054062,15.102639,31.87509,16.851603,20.849606,17.4452,16.931612,12.736615,17.124178,23.166861,59.544243,18.750015,17.741098,12.905932,32.296265,32.61544,20.352934,15.028439,18.083267,9.780421,16.692652,22.440832
17.519859,30.432945,20.473366,11.578114,17.509012,11.582723,5.188713,23.285704,8.354256,25.512646,19.08523,15.142547,32.001602,16.79026,20.857742,17.41993,16.925022,12.716038,17.256947,23.158421,59.56852,18.816002,17.81542,13.039382,32.358864,32.740974,20.446712,15.100643,18.095757,9.78303,16.687901,22.319017
17.732632,30.449158,20.507368,11.667978,17.530863,11.646396,5.176538,23.297436,8.385999,25.53521,19.114748,15.181213,32.131748,16.733084,20.868204,17.395203,16.919357,12.694721,17.385483,23.153021,59.588444,18.881771,17.890751,13.17376,32.419514,32.866802,20.538784,15.169706,18.110836,9.786429,16.681873,22.192984
17.942301,30.463213,20.534704,11.755115,17.551641,11.708651,5.163183,23.310875,8.427428,25.557211,19.142332,15.218302,32.265282,16.67992,20.880705,17.371105,16.914871,12.672602,17.509754,23.150608,59.603996,18.946476,17.966801,13.309804,32.477859,32.994457,20.629059,15.235579,18.128496,9.789493,16.674765,22.062599
18.148277,30.474928,20.551323,11.839067,17.572042,11.769305,5.148779,23.325712,8.478326,25.57889,19.167759,15.2535,32.401882,16.630531,20.894978,17.347744,16.911907,12.649607,17.62989,23.151062,59.615265,19.009295,18.043322,13.448318,32.533676,33.125114,20.717535,15.298223,18.148642,9.790024,16.666788,21.927731
