"X004_hop_L_01.c3d.11","X008_hop_R_01.c3d.11","X009_Hop_L_01.c3d.11","X012_hop_L_01.c3d.11","X015_Hop_R_01.c3d.11","X016_Hop_R_01.c3d.11","X017_hop_L_01.c3d.11","X018_hop_R_01.c3d.11","X019_hop_L_01.c3d.11","X021_Hop_L_01.c3d.11","X027_hop_R_01.c3d.11","X028_Hop_L_01.c3d.11","X033_hop_R_01.c3d.11","X035_Hop_R_01.c3d.11","X036_Hop_L_01.c3d.11","X037_hop_R_01.c3d.11","X049_hop_R_01.c3d.11","X052_Hop_R_01.c3d.11","X053_hop_L_01.c3d.11","X068_hop_R_01.c3d.11","X070_hop_R_01.c3d.11","X073_hop_R_01.c3d.11","X075_hop_L_01.c3d.11","X080_hop_L_01.c3d.11","X086_Hop_R_01.c3d.11","X092_hop_R_01.c3d.11","X100_hop_R_01.c3d.11","X103_hop_R_01.c3d.11","X111_hop_L_01.c3d.11","X118_hop_R_01.c3d.11","X119_hop_R_01.c3d.11","X128_hop_R_01.c3d.11","X130_Hop_L_01.c3d.11","X149_hop_R_01.c3d.11","X155_hop_R_01.c3d.11","X329_hop_L_01.c3d.11"
15.711178,23.951523,25.556074,26.295877,17.422277,41.734226,12.791954,10.620726,26.999968,36.325893,36.942032,9.723631,9.259348,12.633008,16.015366,17.986425,22.296322,24.50873,15.917838,32.662868,29.501945,38.309692,29.883806,14.320238,25.561207,7.163018,29.284361,15.456423,17.11689,18.309635,13.587644,27.014669,8.07736,30.79697,18.176395,8.791169
15.967918,23.990555,26.100729,26.408037,17.432762,42.765263,12.863508,10.799447,26.994322,36.354717,36.59407,9.724174,9.280527,12.633853,16.554564,17.983732,22.602545,24.76297,16.138424,32.758705,29.661827,38.400867,29.736298,14.27505,25.079067,7.143681,29.466185,15.586054,17.019775,18.319048,13.612735,27.097532,8.235818,30.792391,18.088001,8.739174
16.241644,24.01034,26.646164,26.535147,17.442703,43.792187,12.931813,11.009846,27.002455,36.353119,36.227108,9.722694,9.288218,12.628571,17.138645,17.973431,22.934191,25.029127,16.354076,32.883533,29.820747,38.447208,29.587372,14.157557,24.601629,7.138981,29.653828,15.719838,16.888096,18.33309,13.639284,27.193289,8.400553,30.770002,18.012739,8.678926
16.522982,24.016308,27.191795,26.671494,17.451715,44.81321,13.010875,11.265075,27.024961,36.323193,35.842506,9.71643,9.283931,12.61715,17.76874,17.955839,23.284622,25.307613,16.560192,33.040306,29.975895,38.450768,29.452591,13.988235,24.127241,7.148026,29.847038,15.854456,16.744444,18.343441,13.667216,27.303156,8.569958,30.713573,17.9524,8.615391
16.802431,24.014025,27.737909,26.812954,17.459497,45.828342,13.114839,11.579645,27.062737,36.271591,35.443497,9.703186,9.267595,12.6,18.445585,17.934801,23.645182,25.59856,16.752518,33.233208,30.126793,38.406013,29.354755,13.796885,23.655502,7.168498,30.045561,15.986572,16.626602,18.344427,13.69633,27.428852,8.743116,30.608994,17.912138,8.564291
17.071255,24.008118,28.285566,26.956758,17.465794,46.838745,13.246964,11.967957,27.11772,36.208088,35.035229,9.682141,9.238174,12.578382,19.169027,17.916618,24.007772,25.9016,16.927004,33.468456,30.275206,38.301853,29.316151,13.608925,23.18811,7.196965,30.249191,16.113239,16.567715,18.333265,13.72637,27.572536,8.919642,30.450937,17.896284,8.538228
17.322077,24.001781,28.836308,27.10026,17.470316,47.845196,13.389742,12.440748,27.192617,36.142162,34.623756,9.65449,9.19463,12.554729,19.937626,17.907719,24.36623,26.215631,17.080175,33.754028,30.424622,38.13023,29.344595,13.440779,22.72953,7.229255,30.457815,16.232124,16.580452,18.309895,13.757191,27.736406,9.099273,30.246058,17.906105,8.540471
17.549301,23.996719,29.391512,27.240131,17.472733,48.846832,13.508471,13.001193,27.290041,36.080063,34.214169,9.623818,9.136804,12.532528,20.748581,17.912741,24.716671,26.538733,17.209625,34.097984,30.579285,37.891926,29.42589,13.303152,22.287687,7.261301,30.671417,16.341776,16.656006,18.277031,13.788912,27.922251,9.281442,30.011099,17.940613,8.56743
17.749367,23.993492,29.951813,27.372692,17.472721,49.840435,13.570328,13.644617,27.411774,36.024395,33.809093,9.595986,9.065897,12.515706,21.598179,17.934361,25.057686,26.868271,17.314312,34.506115,30.743145,37.595039,29.531332,13.204271,21.874523,7.289959,30.890095,16.442133,16.771515,18.240454,13.821911,28.131203,9.464944,29.767361,17.997721,8.613179
17.920822,23.992146,30.516874,27.494799,17.470072,50.820015,13.557449,14.36086,27.558277,35.976139,33.408379,9.578248,8.984486,12.507834,22.482618,17.973858,25.390863,27.20121,17.394491,34.980553,30.919161,37.25124,29.632666,13.151076,21.505835,7.313457,31.114019,16.535006,16.900892,18.209749,13.856651,28.363766,9.647809,29.534056,18.075756,8.673254
